Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
27,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47
40,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78
41,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75
42,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76
46,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65
52,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44
53,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
54,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41
55,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31
56,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63
57,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61
61,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78
63,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69
64,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68
65,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96
66,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58
67,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73
69,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68
70,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44
74,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67
84,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87
86,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45
87,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44
88,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44
89,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46
91,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57
93,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5
100,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66
102,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58
103,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59
104,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59
106,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63
108,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61
110,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35
111,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67
112,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62
117,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68
118,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58
119,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49
120,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62
121,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56
122,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62
126,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46
127,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7
131,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64
133,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53
136,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37
138,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53
139,0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61
140,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43
141,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51
142,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5
145,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54
150,0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5
151,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51
152,0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57
153,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52
154,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56
156,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62
157,0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51
158,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55
159,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55
160,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54
161,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49
164,0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56
165,0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68
168,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33
169,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3
171,0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6
174,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35
180,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55
181,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24
182,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23
183,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55
184,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53
186,0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5
188,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53
192,0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53
193,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47
194,0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46
195,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49
197,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48
198,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51
199,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52
200,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56
202,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49
203,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48
206,0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63
208,0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19
210,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59
212,0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62
213,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54
214,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59
215,0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49
216,1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94
217,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
218,0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64
221,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63
225,0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5
