observation_date,PCE,PERCENTAGE
1959-01-01,"306,1","1092855,00%"
1959-02-01,"309,6","1094580,00%"
1959-03-01,"312,7","1096135,00%"
1959-04-01,"312,2","1097660,00%"
1959-05-01,"316,1","1099355,00%"
1959-06-01,"318,2","1101010,00%"
1959-07-01,"317,8","1102490,00%"
1959-08-01,"320,2","1104160,00%"
1959-09-01,"324,2","1105910,00%"
1959-10-01,"322,8","1107340,00%"
1959-11-01,"322,9","1108895,00%"
1959-12-01,"322,9","1110395,00%"
1960-01-01,"323,6","1111980,00%"
1960-02-01,"325,3","1113615,00%"
1960-03-01,"330,2","1115310,00%"
1960-04-01,"336,5","1117175,00%"
1960-05-01,330,"1118350,00%"
1960-06-01,"330,1","1119905,00%"
1960-07-01,"331,4","1121470,00%"
1960-08-01,"331,6","1123030,00%"
1960-09-01,"333,4","1124670,00%"
1960-10-01,"335,4","1126270,00%"
1960-11-01,"335,4","1127820,00%"
1960-12-01,"331,3","1129115,00%"
1961-01-01,"332,2","1130710,00%"
1961-02-01,"333,7","1132335,00%"
1961-03-01,"337,7","1133935,00%"
1961-04-01,"337,6","1135480,00%"
1961-05-01,"339,9","1137095,00%"
1961-06-01,"340,9","1138695,00%"
1961-07-01,"340,6","1140180,00%"
1961-08-01,"342,1","1141805,00%"
1961-09-01,"344,4","1143470,00%"
1961-10-01,"346,5","1145075,00%"
1961-11-01,"349,9","1146795,00%"
1961-12-01,"352,4","1148420,00%"
1962-01-01,"353,2","1150010,00%"
1962-02-01,354,"1151600,00%"
1962-03-01,"357,4","1153170,00%"
1962-04-01,359,"1154800,00%"
1962-05-01,362,"1156450,00%"
1962-06-01,"360,4","1157920,00%"
1962-07-01,"361,4","1159470,00%"
1962-08-01,"362,9","1161095,00%"
1962-09-01,"368,8","1162940,00%"
1962-10-01,"366,5","1164325,00%"
1962-11-01,"371,7","1166135,00%"
1962-12-01,"373,6","1167730,00%"
1963-01-01,"374,4","1169320,00%"
1963-02-01,"373,4","1170820,00%"
1963-03-01,375,"1172300,00%"
1963-04-01,"376,4","1173920,00%"
1963-05-01,"377,2","1175460,00%"
1963-06-01,"381,7","1177235,00%"
1963-07-01,"384,4","1178870,00%"
1963-08-01,"386,3","1180515,00%"
1963-09-01,"385,5","1182025,00%"
1963-10-01,386,"1183550,00%"
1963-11-01,"389,4","1185270,00%"
1963-12-01,"394,7","1187035,00%"
1964-01-01,"396,8","1188690,00%"
1964-02-01,"400,2","1190410,00%"
1964-03-01,"401,8","1191940,00%"
1964-04-01,"402,8","1193540,00%"
1964-05-01,"408,4","1195320,00%"
1964-06-01,"411,4","1197020,00%"
